matrix,audikw_1,cage12,Si87H76,atmosmodd,RM07R,nlpkkt80
1,74.194339,13.906101,232.610474,55.740302,120.441296,143.186373
2,68.750341,11.627082,145.093337,51.054971,85.455649,121.163606
4,53.576202,10.173444,90.576542,42.998242,59.682285,91.692117
8,40.306423,7.648734,63.185827,35.916394,44.696514,74.456798
16,27.057392,5.951173,39.83612,24.047922,29.008874,48.850778
32,21.064054,4.570672,28.01698,17.578171,20.849232,35.456949
flops,11247600000000.0,3459660000000.0,63898100000000.0,12347500000000.0,29420000000000.0,32346400000000.0
GFflops_1,151.5964715313388,248.78720498290642,274.7000120037587,221.5183548879947,244.26837784940474,225.90417874471896
GFflops_2,163.60064308626482,297.5518707101231,440.39306918690556,241.84716508799897,344.2721498727369,266.96465273573983
GFflops_4,209.93649381865478,340.06772927633943,705.4596983841577,287.16290307868866,492.9435928936032,352.7718745985547
GFflops_8,279.05229893508533,452.31799144799646,1011.2726703727403,343.7845124429808,658.2168801799621,434.431789559363
GFflops_16,415.69416594178773,581.3408549877478,1604.0241870945263,513.4539275368575,1014.1724218596007,662.1470798274697
GFflops_32,533.9712858692824,756.9258962358269,2280.6919232551118,702.4337173645654,1411.0831516479839,912.2725139153964
