matrix,audikw_1,cage12,Si87H76,atmosmodd,RM07R,nlpkkt80
1,332.622269,94.477063,1368.040513,363.750356,764.837777,1045.246566
2,179.42267,50.027013,695.532484,190.983283,393.879331,542.116877
4,98.668025,27.400783,361.491128,102.674327,205.811094,286.541139
8,57.146533,15.124207,185.751984,57.246807,110.31334,156.570224
16,36.502414,9.384686,101.111821,34.402453,62.472964,91.116931
32,27.814903,6.10462,57.214832,23.189628,37.167391,57.355838
flops,11247600000000.0,3459660000000.0,63898100000000.0,12347500000000.0,29420000000000.0,32346400000000.0
GFflops_1,33.814933780035034,36.61904688971968,46.707754187686106,33.94498396037309,38.46567322471573,30.946191120995273
GFflops_2,62.68773059725396,69.15583786703395,91.86932525785525,64.65225545421167,74.69292670246767,59.66683822684236
GFflops_4,113.99437659768705,126.26135537805617,176.7625677385919,120.25888419020268,142.94661880568984,112.88571027841138
GFflops_8,196.82033903964043,228.74984453730366,343.9968641196317,215.68888549539543,266.69485304315873,206.59356021614943
GFflops_16,308.133045666514,368.6495211454064,631.954793891013,358.9133600444131,470.92371029490454,354.9987872177126
GFflops_32,404.37315204730356,566.7281501551284,1116.8100607199196,532.4578729766602,791.5540802958162,563.9600279225282
