matrix,audikw_1,cage12,Si87H76,atmosmodd,RM07R,nlpkkt80
1,156.312,413.814,2383.206,103.372,239.788,161.687
2,114.412,249.17,1362.929,82.302,191.535,142.183
4,56.233,125.2,651.129,61.184,87.309,96.915
8,39.25,67.385,381.724,42.69,64.457,74.756
16,26.032,46.229,242.624,26.478,45.036,52.688
32,14.671,20.908,116.887,15.503,26.231,30.296
flops,11146000000000.0,3599060000000.0,60502500000000.0,12802200000000.0,30428400000000.0,30704900000000.0
GFflops_1,71.30610573724346,8.69728912023276,25.387020677188627,123.84591572185893,126.89709243164796,189.90333174590413
GFflops_2,97.41985106457363,14.444194726491954,44.39152736496178,155.55150543121673,158.86600360247476,215.95338401918656
GFflops_4,198.21101488449844,28.746485623003196,92.91937542330321,209.24097803347283,348.51389891076525,316.8229892173554
GFflops_8,283.97452229299364,53.410402908659194,158.49802475086713,299.8875614898103,472.07285477139806,410.73492428701377
GFflops_16,428.1653349723417,77.85286292154275,249.36733381693486,483.5032857466576,675.6461497468691,582.7683723048891
GFflops_32,759.730079749165,172.1379376315286,517.6153036693559,825.7885570534736,1160.016774045976,1013.4968312648535
